피처,평균_SHAP
사고다발지_500m,2.937802853445968
조명_500m,2.532048589443336
사고심각도_500m,1.371495069972691
CCTV_300m,0.9413466676204642
CCTV대수,0.408645324345056
최근접_CCTV_거리,0.38432938591792487
카메라_300m,0.32321124639646953
최근접_카메라_거리,0.31475025128423206
지킴이집_500m,0.29206212618319893
표지판_300m,0.25500822617414287
CCTV유무_수치,0.018589735372806327
