시설물명,위도,경도,카테고리
도로적색표면_성남-01-012_97,37.418017,127.133875,도로적색표면
도로적색표면_성남-01-012_98,37.418017,127.133993,도로적색표면
도로적색표면_성남-01-013_99,37.361425,127.114953,도로적색표면
도로적색표면_성남-01-013_100,37.361989,127.114722,도로적색표면
도로적색표면_성남-01-013_101,37.361665,127.113497,도로적색표면
도로적색표면_성남-01-013_102,37.361742,127.113521,도로적색표면
도로적색표면_성남-01-013_103,37.361713,127.113834,도로적색표면
도로적색표면_성남-01-013_104,37.361755,127.114541,도로적색표면
도로적색표면_성남-01-013_105,37.361664,127.114541,도로적색표면
도로적색표면_성남-01-014_106,37.405535,127.127455,도로적색표면
도로적색표면_성남-01-014_107,37.405337,127.126981,도로적색표면
도로적색표면_성남-01-014_108,37.405351,127.126811,도로적색표면
도로적색표면_성남-01-014_109,37.407427,127.125332,도로적색표면
도로적색표면_성남-01-015_110,37.356944,127.105947,도로적색표면
도로적색표면_성남-01-015_111,37.357341,127.106063,도로적색표면
도로적색표면_성남-01-015_112,37.357784,127.105934,도로적색표면
도로적색표면_성남-01-015_113,37.358095,127.105934,도로적색표면
도로적색표면_성남-01-015_114,37.358102,127.106051,도로적색표면
도로적색표면_성남-01-015_115,37.358877,127.105938,도로적색표면
도로적색표면_성남-01-015_116,37.358875,127.106054,도로적색표면
도로적색표면_성남-01-015_117,37.359331,127.105939,도로적색표면
도로적색표면_성남-01-015_118,37.359327,127.106035,도로적색표면
도로적색표면_성남-01-016_119,37.395989,127.116918,도로적색표면
도로적색표면_성남-01-016_120,37.396189,127.117421,도로적색표면
도로적색표면_성남-01-016_121,37.396236,127.117421,도로적색표면
도로적색표면_성남-01-016_122,37.396177,127.118387,도로적색표면
도로적색표면_성남-01-016_123,37.395359,127.118422,도로적색표면
도로적색표면_성남-01-016_124,37.394411,127.118486,도로적색표면
도로적색표면_성남-01-016_125,37.394793,127.116724,도로적색표면
도로적색표면_성남-01-016_126,37.395056,127.116724,도로적색표면
도로적색표면_성남-01-016_127,37.394637,127.116927,도로적색표면
도로적색표면_성남-01-016_128,37.395769,127.118502,도로적색표면
도로적색표면_성남-01-016_129,37.395769,127.118423,도로적색표면
도로적색표면_성남-01-016_130,37.396175,127.116814,도로적색표면
도로적색표면_성남-01-016_131,37.395359,127.118501,도로적색표면
도로적색표면_성남-01-016_132,37.396217,127.118466,도로적색표면
도로적색표면_성남-01-016_133,37.394766,127.118497,도로적색표면
도로적색표면_성남-01-017_134,37.390776,127.079296,도로적색표면
도로적색표면_성남-01-017_135,37.390681,127.079502,도로적색표면
도로적색표면_성남-01-017_136,37.390607,127.079831,도로적색표면
도로적색표면_성남-01-017_137,37.390297,127.081171,도로적색표면
도로적색표면_성남-01-017_138,37.390193,127.081577,도로적색표면
도로적색표면_성남-01-017_139,37.390385,127.081357,도로적색표면
도로적색표면_성남-01-017_140,37.389689,127.081141,도로적색표면
도로적색표면_성남-01-017_141,37.389588,127.080825,도로적색표면
도로적색표면_성남-01-017_142,37.389457,127.080845,도로적색표면
도로적색표면_성남-01-017_143,37.389271,127.081131,도로적색표면
도로적색표면_성남-01-017_144,37.388775,127.080934,도로적색표면
도로적색표면_성남-01-017_145,37.388661,127.080954,도로적색표면
도로적색표면_성남-01-017_146,37.388676,127.080881,도로적색표면
도로적색표면_성남-01-017_147,37.388854,127.080649,도로적색표면
도로적색표면_성남-01-017_148,37.388946,127.080689,도로적색표면
도로적색표면_성남-01-017_149,37.388571,127.080592,도로적색표면
