시설물명,위도,경도,과속방지턱,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,보호구역 도로폭,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,동,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%)
예원유치원,37.461271246,126.877311964,5,4,8,0,7,2,4,0,1,36,0,0,0,0,0,0,하안동,66369,1590,1990,2818,6398,9.640042791062092
예지유치원,37.490201801,126.867907656,8,5,8,1,10,2,13,0,12,8,2,2,1,0,1,1,철산동,69508,2254,2787,3666,8707,12.52661564136502
예지유치원,37.490201801,126.867907656,8,5,8,1,10,2,13,0,12,8,2,2,1,0,1,1,철산동,69508,2254,2787,3666,8707,12.52661564136502
광명북초등학교,37.487367731,126.868000893,10,7,14,1,9,3,17,0,11,8,2,2,1,0,1,1,철산동,69508,2254,2787,3666,8707,12.52661564136502
광명북초등학교,37.487367731,126.868000893,10,7,14,1,9,3,17,0,11,8,2,2,1,0,1,1,철산동,69508,2254,2787,3666,8707,12.52661564136502
삼흥유치원,37.477651417,126.868859296,4,3,2,0,7,1,0,1,1,8,0,0,0,0,0,0,철산동,69508,2254,2787,3666,8707,12.52661564136502
혜성유치원,37.46683873,126.879237896,11,7,15,2,12,4,22,0,12,10,0,0,0,0,0,0,하안동,66369,1590,1990,2818,6398,9.640042791062092
철산초등학교,37.46984647,126.873334063,7,12,34,4,15,4,53,1,18,14,0,0,0,0,0,0,철산동,69508,2254,2787,3666,8707,12.52661564136502
하일초등학교,37.469301665,126.876139495,6,11,20,4,11,4,43,1,16,11,0,0,0,0,0,0,하안동,66369,1590,1990,2818,6398,9.640042791062092
한마음유치원,37.467165937,126.875826468,8,10,28,3,15,5,40,1,15,11,0,0,0,0,0,0,하안동,66369,1590,1990,2818,6398,9.640042791062092
광성초등학교,37.477602811,126.872541416,7,7,6,2,7,4,12,4,6,8,0,0,0,0,0,0,철산동,69508,2254,2787,3666,8707,12.52661564136502
광명동초등학교,37.483389861,126.863980047,11,4,9,1,9,4,1,0,3,12,0,0,0,0,0,0,철산동,69508,2254,2787,3666,8707,12.52661564136502
철산어린이집,37.482189184,126.862267533,10,4,9,1,8,4,1,0,3,9,0,0,0,0,0,0,철산동,69508,2254,2787,3666,8707,12.52661564136502
