시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.51883817,0.48153266,0.7412172,0.26182276,0.38739592,0.08110221612832,0,0,0.27661940816658814
하원초등학교,37.446255,127.170236,6,7,21,2,15,16,10,2,6,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.95012796,0.050694197,0.93466485,0.065907866,0.45022243,0.25796690278872,0,0,0.4862171205420518
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.28651914,0.7094404,0.3762618,0.63240427,0.45062232,0.0,0,0,0.3401841934071868
상대원초등학교,37.442382,127.181591,2,8,30,1,21,5,3,1,2,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.20583484,0.7956984,0.33007234,0.66170037,0.42129442,0.0,1,0,0.33239595166119973
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.9276426,0.07323685,0.9202343,0.0810197,0.38085842,0.240462831130912,0,0,0.4512137081259054
내정초등학교,37.372402,127.122264,1,2,4,4,6,13,10,1,1,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.9762284,0.024523139,0.9357177,0.06537941,0.46970743,0.0,0,0,0.5912083549995585
미금초등학교,37.347422,127.115303,3,9,16,1,15,8,10,2,5,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.9749359,0.025346756,0.92173415,0.07831854,0.47187972,0.25741288209975,0,0,0.5248263858765161
백현초등학교,37.372193,127.111168,3,11,21,1,13,18,8,1,3,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.989079,0.010683209,0.93788016,0.060088903,0.4826703,0.3217888529589236,0,0,0.5128080079382483
성남여수초등학교,37.419449,127.133081,4,16,36,3,26,11,5,1,4,도촌동,0,0,0,0,0,0,25878,714,1005,1359,3078,11.894273127753303,0.2438027,0.75441897,0.20164773,0.79787,0.43479198,0.0,3,0,0.5320412155016739
탄천초등학교,37.361599,127.115645,5,8,16,3,8,16,8,1,7,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.3183567,0.6883266,0.429389,0.57764137,0.38531023,0.0,0,0,0.31100391807643973
늘푸른초등학교,37.358334,127.105671,5,9,16,1,10,6,4,2,5,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.91146886,0.0894402,0.8554052,0.14476672,0.4587278,0.223351957663398,0,0,0.5152963769429401
보평초등학교,37.396039,127.117758,5,15,16,2,8,17,7,1,4,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0.9008262,0.098811775,0.9568554,0.044025272,0.47189045,0.325572188685869,0,0,0.42052546606836805
운중초등학교,37.392419,127.06894,7,30,34,2,16,23,4,1,7,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.31046176,0.6912914,0.52647513,0.47399962,0.3889377,0.2346632299911375,0,0,0.20924253949247237
