시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,structure_risk
중원초등학교,37.437855,127.167857,-1.4812984842721335,-0.7729352169280795,-0.4908191737720218,-1.7449314629334605,0.2968871487593441,0.2419749459989004,-1.5520932048302525,0.2260727461504749,-1.5428838163194802,-1.0938519288731068,0,-1.1241857054010465
하원초등학교,37.446255,127.170236,0.969315707183901,-0.4331308800742489,0.4143278739633952,0.2280996954310509,0.2968871487593441,0.0521584911846189,1.4022933244713005,1.210695588900589,0.9467696145596812,-0.0063688930671178,0,0.24593939711020726
중부초등학교,37.451546,127.164951,-0.664427087120122,1.6056951410487346,0.8166154507346917,0.2280996954310509,1.1644363914755873,0.9037313686286234,-0.3703385931096312,0.2260727461504749,-0.7129993393597598,-1.220494860377597,0,-0.6348382962760483
상대원초등학교,37.442382,127.181591,-0.664427087120122,-0.2632287116473336,1.3194749216988122,-0.5000874003977321,0.8248857600575533,-1.725175323781445,-0.6657772460397865,0.2260727461504749,-0.7129993393597598,-1.0938519288731068,0,-0.7652190665267469
구미초등학교,37.337756,127.118398,0.969315707183901,1.265890804194904,1.0177592391203398,-0.5000874003977321,1.3934906613440663,-1.725175323781445,3.470363894982387,0.2260727461504749,0.9467696145596812,-0.2317421377596136,0,0.007223463469307319
내정초등학교,37.372402,127.122264,-1.0728627856961277,-1.2826417222088256,-1.295394327314615,1.1455069396219677,-1.0737519613502355,-0.2791860437828,1.4022933244713005,0.2260727461504749,-1.12794157783962,1.312029523852358,0,1.0077116155507213
미금초등학교,37.347422,127.115303,-0.2559913885441162,-0.0933265432204183,-0.0885315970007253,-0.5000874003977321,0.2968871487593441,-1.033212996070659,1.4022933244713005,1.210695588900589,0.5318273760798209,-0.2317421377596136,0,0.5275216512798808
백현초등학교,37.372193,127.111168,-0.2559913885441162,0.2464777936334122,0.4143278739633952,-0.5000874003977321,0.0754911248445833,0.2419749459989004,0.81141601861099,0.2260727461504749,-0.2980571008798995,0.0886335584840252,0,0.43737689497170756
성남여수초등학교,37.419449,127.133081,0.1524443100318895,1.0959886357679889,1.922906286855757,0.7447566621379961,1.1644363914755873,-0.5422579113700216,-0.0748999401794758,0.2260727461504749,0.1168851375999606,0.4636998269585539,0,0.438789112932171
탄천초등학교,37.361599,127.115645,0.5608800086078953,-0.2632287116473336,-0.0885315970007253,0.7447566621379961,-0.6570708043562525,0.0521584911846189,0.81141601861099,0.2260727461504749,1.3617118530395411,0.0886335584840252,0,-0.8377470049899702
