시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk,risk_prob,risk_score,safety_score,safety_grade
예원유치원,37.461271246,126.877311964,1,4,8,0,7,2,4,0,1,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,,,,,,,,0,0.3623528026659465,0.0011374846464435547,0.11374846464435548,99.88625153535564,C
삼흥유치원,37.477651417,126.868859296,0,3,2,0,7,1,0,1,1,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,0,0.3623528026659465,0.0005606937561677891,0.05606937561677891,99.94393062438323,C
광문초등학교,37.467074602,126.851639329,0,7,5,2,8,3,9,1,10,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.43222892,0.57337,0.38890254,0.61259526,0.45032093,0.241891531390035,1.0,0,0.3388438894038858,0.0004432948647523595,0.04432948647523595,99.95567051352477,C
하안남초등학교,37.461014207,126.885382868,0,3,5,3,12,2,23,2,7,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,,,,,,,,0,0.3623528026659465,0.00026254128734065976,0.026254128734065976,99.97374587126593,C
예크어린이집,37.469854145,126.855135297,0,1,0,1,9,3,7,3,4,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.6514314,0.35289478,0.5821581,0.41574654,0.4527923,0.1974862297321936,0.0,0,0.3804787222492811,0.000253036897901392,0.0253036897901392,99.97469631020986,C
녹야유치원,37.47927063,126.857818996,0,3,3,1,3,2,0,0,8,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.9473577,0.053952545,0.69946843,0.30057716,0.4718665,0.0,0.0,0,0.6225970272676864,0.0002517786065261456,0.02517786065261456,99.97482213934738,C
연서초등학교,37.466263613,126.880934844,0,6,11,2,8,3,20,0,10,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.47237346,0.53378135,0.34638816,0.6466783,0.0,0.0,2.0,0,0.3263710707570018,0.00020862841479734405,0.020862841479734405,99.97913715852027,C
온신초등학교,37.442701862,126.84573469,0,3,6,1,9,2,0,0,4,학온동,0,0,0,0,0,0,1648,16,16,23,55,3.337378640776699,0.89413553,0.106512666,0.47849444,0.5166123,0.43516472,0.2428678648906224,0.0,0,0.6337533446035635,0.00018323266386305532,0.01832326638630553,99.98167673361368,C
혜성유치원,37.46683873,126.879237896,0,7,15,2,12,4,22,0,12,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,,,,,,,,0,0.3623528026659465,0.00017440052014672483,0.017440052014672483,99.98255994798532,C
예지유치원,37.490201801,126.867907656,0,5,8,1,10,2,13,0,12,철산동,2,2,1,0,1,1,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,1,0.3623528026659465,0.0001327623776373168,0.013276237763731678,99.98672376223627,B
예지유치원,37.490201801,126.867907656,0,5,8,1,10,2,13,0,12,철산동,2,2,1,0,1,1,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,1,0.3623528026659465,0.0001327623776373168,0.013276237763731678,99.98672376223627,B
하안북초등학교,37.465514167,126.867288614,0,11,18,2,19,2,25,0,13,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.8520386,0.15158606,0.6827681,0.31703642,0.449718,0.3490675201142158,1.0,0,0.4772933662953405,0.00013092707401888542,0.013092707401888542,99.98690729259812,B
광명생명숲어린이집,37.432308566,126.877817192,0,0,0,0,8,2,11,0,6,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.742815,0.2623167,0.6164286,0.3717335,0.46965826,0.0,0.0,0,0.49961468753442145,0.00012709348249034398,0.012709348249034398,99.98729065175097,B
광명북초등학교,37.487367731,126.868000893,0,7,14,1,9,3,17,0,11,철산동,2,2,1,0,1,1,69508,2254,2787,3666,8707,12.52661564136502,0.11495641,0.88336277,0.12760746,0.87403655,0.46410024,0.0,0.0,1,0.28226374047959485,5.668437000113439e-05,0.005668437000113439,99.99433156299989,B
광명북초등학교,37.487367731,126.868000893,0,7,14,1,9,3,17,0,11,철산동,2,2,1,0,1,1,69508,2254,2787,3666,8707,12.52661564136502,0.11495641,0.88336277,0.12760746,0.87403655,0.46410024,0.0,0.0,1,0.28226374047959485,5.668437000113439e-05,0.005668437000113439,99.99433156299989,B
안서초등학교,37.402053882,126.871781379,0,5,2,0,8,2,4,0,2,학온동,0,0,0,0,0,0,1648,16,16,23,55,3.337378640776699,0.48818257,0.5152319,0.43268108,0.5712712,0.2928444,0.0,0.0,0,0.3322406764868589,3.726841053863524e-05,0.003726841053863524,99.99627315894614,B
세교유치원,37.42002424,126.848711399,0,0,0,0,0,0,0,0,0,학온동,0,0,0,0,0,0,1648,16,16,23,55,3.337378640776699,0.027434349,0.97251916,0.046067297,0.95430285,0.45257002,0.0,0.0,0,0.2600617698176376,3.4643035060765394e-05,0.0034643035060765394,99.99653569649392,B
광성초등학교,37.477602811,126.872541416,0,7,6,2,7,4,12,4,6,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,0.28851244,0.7069931,0.72400737,0.27642685,0.2205536,0.233231659733776,0.0,0,0.0731984705753227,2.3332481010340953e-05,0.002333248101034095,99.99766675189896,B
구름산유치원,37.455660136,126.882185903,0,6,21,0,26,4,22,0,22,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.8239292,0.17723924,0.83543044,0.1633614,0.43653244,0.23012617540432,0.0,0,0.35274061395476114,1.0188517237223934e-05,0.0010188517237223933,99.99898114827627,B
트인아이유치원,37.434968089,126.886029485,0,3,0,1,5,2,11,1,10,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.9208032,0.080875844,0.5824748,0.4299687,0.39712894,0.2074496528738502,0.0,0,0.5869023374913439,7.2340055035841544e-06,0.0007234005503584154,99.99927659944964,B
예림유치원,37.468769887,126.852729513,0,6,5,2,10,3,12,4,11,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,,,,,,,,0,0.3623528026659465,3.272914483734415e-06,0.0003272914483734415,99.99967270855163,B
한마음유치원,37.467165937,126.875826468,0,10,28,3,15,5,40,1,15,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.09865031,0.9024519,0.06857884,0.9319056,0.0,0.0,3.0,0,0.23683148227535314,2.3670147882263922e-06,0.00023670147882263922,99.99976329852119,A
