시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보,사고심각도
성남시,2024,보행노인사고다발지,7122477,2025076,4113110100,41131003,경기 성남시 수정구3,경기 성남시 수정구 신흥동(다원약국 부근),5,5,0,5,0,0,37.440241348536,127.144152377443,"{""type"":""Polygon"",""coordinates"":[[[127.14594901,37.44001218],[127.14591449,37.4397327],[127.14581225,37.43946396],[127.14564622,37.43921629],[127.14542279,37.4389992],[127.14515053,37.43882104],[127.14483992,37.43868866],[127.14450288,37.43860714],[127.14415238,37.43857961],[127.14380187,37.43860714],[127.14346484,37.43868866],[127.14315422,37.43882104],[127.14288197,37.4389992],[127.14265853,37.43921629],[127.14249251,37.43946396],[127.14239027,37.4397327],[127.14235575,37.44001218],[127.14239027,37.44029165],[127.14249251,37.44056039],[127.14265853,37.44080806],[127.14288197,37.44102514],[127.14315422,37.44120329],[127.14346484,37.44133567],[127.14380187,37.44141719],[127.14415238,37.44144472],[127.14450288,37.44141719],[127.14483992,37.44133567],[127.14515053,37.44120329],[127.14542279,37.44102514],[127.14564622,37.44080806],[127.14581225,37.44056039],[127.14591449,37.44029165],[127.14594901,37.44001218]]]}",25
성남시,2024,보행노인사고다발지,7122331,2025076,4113310100,41133001,경기 성남시 중원구1,경기 성남시 중원구 성남동(성남시 전북도민회관 부근),8,8,1,7,0,0,37.430666181705,127.128656104018,"{""type"":""Polygon"",""coordinates"":[[[127.13045273,37.43043713],[127.13041821,37.43015762],[127.13031597,37.42988884],[127.13014995,37.42964114],[127.12992651,37.42942402],[127.12965426,37.42924584],[127.12934364,37.42911344],[127.12900661,37.42903191],[127.1286561,37.42900438],[127.1283056,37.42903191],[127.12796856,37.42911344],[127.12765795,37.42924584],[127.12738569,37.42942402],[127.12716226,37.42964114],[127.12699623,37.42988884],[127.126894,37.43015762],[127.12685947,37.43043713],[127.126894,37.43071664],[127.12699623,37.43098541],[127.12716226,37.43123311],[127.12738569,37.43145022],[127.12765795,37.4316284],[127.12796856,37.4317608],[127.1283056,37.43184232],[127.1286561,37.43186985],[127.12900661,37.43184232],[127.12934364,37.4317608],[127.12965426,37.4316284],[127.12992651,37.43145022],[127.13014995,37.43123311],[127.13031597,37.43098541],[127.13041821,37.43071664],[127.13045273,37.43043713]]]}",45
성남시,2024,보행노인사고다발지,7122289,2025076,4113110200,41131001,경기 성남시 수정구1,경기 성남시 수정구 태평동(중앙시장사거리 부근),6,6,0,6,0,0,37.440314518015,127.131264973614,"{""type"":""Polygon"",""coordinates"":[[[127.1330616,37.44008534],[127.13302708,37.43980587],[127.13292484,37.43953713],[127.13275882,37.43928946],[127.13253538,37.43907237],[127.13226313,37.43889421],[127.13195251,37.43876183],[127.13161548,37.43868031],[127.13126497,37.43865278],[127.13091447,37.43868031],[127.13057743,37.43876183],[127.13026682,37.43889421],[127.12999456,37.43907237],[127.12977113,37.43928946],[127.1296051,37.43953713],[127.12950286,37.43980587],[127.12946834,37.44008534],[127.12950286,37.44036482],[127.1296051,37.44063356],[127.12977113,37.44088122],[127.12999456,37.4410983],[127.13026682,37.44127646],[127.13057743,37.44140884],[127.13091447,37.44149036],[127.13126497,37.44151788],[127.13161548,37.44149036],[127.13195251,37.44140884],[127.13226313,37.44127646],[127.13253538,37.4410983],[127.13275882,37.44088122],[127.13292484,37.44063356],[127.13302708,37.44036482],[127.1330616,37.44008534]]]}",30
성남시,2024,보행노인사고다발지,7122295,2025076,4113110100,41131002,경기 성남시 수정구2,경기 성남시 수정구 신흥동(숯골사거리 부근),5,6,0,6,0,0,37.444169310797,127.143483736978,"{""type"":""Polygon"",""coordinates"":[[[127.14528037,37.44394009],[127.14524585,37.44366063],[127.14514361,37.4433919],[127.14497758,37.44314424],[127.14475415,37.44292717],[127.14448189,37.44274902],[127.14417128,37.44261664],[127.14383424,37.44253512],[127.14348374,37.4425076],[127.14313323,37.44253512],[127.1427962,37.44261664],[127.14248558,37.44274902],[127.14221333,37.44292717],[127.14198989,37.44314424],[127.14182387,37.4433919],[127.14172163,37.44366063],[127.14168711,37.44394009],[127.14172163,37.44421955],[127.14182387,37.44448827],[127.14198989,37.44473593],[127.14221333,37.444953],[127.14248558,37.44513114],[127.1427962,37.44526351],[127.14313323,37.44534503],[127.14348374,37.44537255],[127.14383424,37.44534503],[127.14417128,37.44526351],[127.14448189,37.44513114],[127.14475415,37.444953],[127.14497758,37.44473593],[127.14514361,37.44448827],[127.14524585,37.44421955],[127.14528037,37.44394009]]]}",30
성남시,2024,자전거사고다발지,7125449,2025081,4113310100,41133001,경기 성남시 중원구1,경기 성남시 중원구 성남동(모란시장사거리 부근),5,5,0,3,1,1,37.430111574868,127.130009540061,"{""type"":""Polygon"",""coordinates"":[[[127.13180617,37.42988253],[127.13177165,37.42960301],[127.13166941,37.42933424],[127.13150338,37.42908653],[127.13127995,37.42886942],[127.13100769,37.42869123],[127.13069708,37.42855883],[127.13036005,37.4284773],[127.13000954,37.42844977],[127.12965903,37.4284773],[127.129322,37.42855883],[127.12901139,37.42869123],[127.12873913,37.42886942],[127.1285157,37.42908653],[127.12834967,37.42933424],[127.12824743,37.42960301],[127.12821291,37.42988253],[127.12824743,37.43016205],[127.12834967,37.43043082],[127.1285157,37.43067852],[127.12873913,37.43089563],[127.12901139,37.43107381],[127.129322,37.43120621],[127.12965903,37.43128774],[127.13000954,37.43131526],[127.13036005,37.43128774],[127.13069708,37.43120621],[127.13100769,37.43107381],[127.13127995,37.43089563],[127.13150338,37.43067852],[127.13166941,37.43043082],[127.13177165,37.43016205],[127.13180617,37.42988253]]]}",16
성남시,2024,자전거사고다발지,7125554,2025081,4113310600,41133002,경기 성남시 중원구2,경기 성남시 중원구 여수동(성남시청교차로 부근),3,3,1,0,1,1,37.421390576216,127.128504135402,"{""type"":""Polygon"",""coordinates"":[[[127.13030077,37.42116164],[127.13026624,37.42088209],[127.13016401,37.42061329],[127.12999798,37.42036555],[127.12977455,37.42014841],[127.12950229,37.41997021],[127.12919168,37.41983779],[127.12885464,37.41975624],[127.12850414,37.41972871],[127.12815363,37.41975624],[127.12781659,37.41983779],[127.12750598,37.41997021],[127.12723373,37.42014841],[127.12701029,37.42036555],[127.12684427,37.42061329],[127.12674203,37.42088209],[127.1267075,37.42116164],[127.12674203,37.42144119],[127.12684427,37.42170999],[127.12701029,37.42195772],[127.12723373,37.42217486],[127.12750598,37.42235306],[127.12781659,37.42248547],[127.12815363,37.42256701],[127.12850414,37.42259454],[127.12885464,37.42256701],[127.12919168,37.42248547],[127.12950229,37.42235306],[127.12977455,37.42217486],[127.12999798,37.42195772],[127.13016401,37.42170999],[127.13026624,37.42144119],[127.13030077,37.42116164]]]}",11
성남시,2023,보행노인사고다발지,6928919,2024044,4113310100,41133001,경기 성남시 중원구1,경기 성남시 중원구 성남동(모란시장사거리 부근),5,6,1,4,1,0,37.430598775107,127.128718603339,"{""type"":""Polygon"",""coordinates"":[[[127.13051523,37.43036972],[127.13048071,37.43009021],[127.13037847,37.42982144],[127.13021245,37.42957373],[127.12998901,37.42935662],[127.12971676,37.42917844],[127.12940614,37.42904603],[127.12906911,37.4289645],[127.1287186,37.42893697],[127.1283681,37.4289645],[127.12803106,37.42904603],[127.12772045,37.42917844],[127.12744819,37.42935662],[127.12722476,37.42957373],[127.12705873,37.42982144],[127.12695649,37.43009021],[127.12692197,37.43036972],[127.12695649,37.43064924],[127.12705873,37.43091801],[127.12722476,37.43116571],[127.12744819,37.43138282],[127.12772045,37.43156099],[127.12803106,37.43169339],[127.1283681,37.43177492],[127.1287186,37.43180245],[127.12906911,37.43177492],[127.12940614,37.43169339],[127.12971676,37.43156099],[127.12998901,37.43138282],[127.13021245,37.43116571],[127.13037847,37.43091801],[127.13048071,37.43064924],[127.13051523,37.43036972]]]}",31
성남시,2023,보행노인사고다발지,6929003,2024044,4113310100,41133002,경기 성남시 중원구2,경기 성남시 중원구 성남동(모란삼거리 부근),5,5,0,5,0,0,37.433054760045,127.128351425409,"{""type"":""Polygon"",""coordinates"":[[[127.13014806,37.43282568],[127.13011353,37.43254617],[127.1300113,37.43227741],[127.12984527,37.43202971],[127.12962184,37.43181261],[127.12934958,37.43163443],[127.12903897,37.43150203],[127.12870193,37.4314205],[127.12835143,37.43139297],[127.12800092,37.4314205],[127.12766388,37.43150203],[127.12735327,37.43163443],[127.12708102,37.43181261],[127.12685758,37.43202971],[127.12669156,37.43227741],[127.12658932,37.43254617],[127.12655479,37.43282568],[127.12658932,37.43310518],[127.12669156,37.43337394],[127.12685758,37.43362163],[127.12708102,37.43383874],[127.12735327,37.43401691],[127.12766388,37.4341493],[127.12800092,37.43423083],[127.12835143,37.43425836],[127.12870193,37.43423083],[127.12903897,37.4341493],[127.12934958,37.43401691],[127.12962184,37.43383874],[127.12984527,37.43362163],[127.1300113,37.43337394],[127.13011353,37.43310518],[127.13014806,37.43282568]]]}",25
성남시,2023,보행노인사고다발지,6928830,2024044,4113110200,41131002,경기 성남시 수정구2,경기 성남시 수정구 태평동(중앙시장사거리 부근),5,5,0,5,0,0,37.44067708685,127.131913202644,"{""type"":""Polygon"",""coordinates"":[[[127.13370983,37.44044791],[127.13367531,37.44016843],[127.13357307,37.4398997],[127.13340705,37.43965203],[127.13318361,37.43943494],[127.13291136,37.43925678],[127.13260074,37.4391244],[127.13226371,37.43904288],[127.1319132,37.43901535],[127.1315627,37.43904288],[127.13122566,37.4391244],[127.13091505,37.43925678],[127.13064279,37.43943494],[127.13041936,37.43965203],[127.13025333,37.4398997],[127.13015109,37.44016843],[127.13011657,37.44044791],[127.13015109,37.44072738],[127.13025333,37.44099612],[127.13041936,37.44124378],[127.13064279,37.44146086],[127.13091505,37.44163902],[127.13122566,37.4417714],[127.1315627,37.44185291],[127.1319132,37.44188044],[127.13226371,37.44185291],[127.13260074,37.4417714],[127.13291136,37.44163902],[127.13318361,37.44146086],[127.13340705,37.44124378],[127.13357307,37.44099612],[127.13367531,37.44072738],[127.13370983,37.44044791]]]}",25
성남시,2023,보행노인사고다발지,6928838,2024044,4113110100,41131001,경기 성남시 수정구1,경기 성남시 수정구 신흥동(신흥종로약국 부근),5,5,0,5,0,0,37.440349358381,127.144100995985,"{""type"":""Polygon"",""coordinates"":[[[127.14589763,37.44012018],[127.1458631,37.43984071],[127.14576087,37.43957197],[127.14559484,37.4393243],[127.14537141,37.43910721],[127.14509915,37.43892905],[127.14478854,37.43879667],[127.1444515,37.43871515],[127.144101,37.43868762],[127.14375049,37.43871515],[127.14341346,37.43879667],[127.14310284,37.43892905],[127.14283059,37.43910721],[127.14260715,37.4393243],[127.14244113,37.43957197],[127.14233889,37.43984071],[127.14230437,37.44012018],[127.14233889,37.44039966],[127.14244113,37.4406684],[127.14260715,37.44091606],[127.14283059,37.44113314],[127.14310284,37.4413113],[127.14341346,37.44144368],[127.14375049,37.4415252],[127.144101,37.44155272],[127.1444515,37.4415252],[127.14478854,37.44144368],[127.14509915,37.4413113],[127.14537141,37.44113314],[127.14559484,37.44091606],[127.14576087,37.4406684],[127.1458631,37.44039966],[127.14589763,37.44012018]]]}",25
