지역,호선명,상/하행,월,등교_07_08,등교_08_09,하교_15_16,하교_16_17,하교_17_18,등교시간_합계,하교시간_합계,전일합계_평균,관측일수
경기 광주 중부면,일반국도 43호선,상행,10,393.0,461.5,621.7,728.5,761.4,854.5,2111.5,7756.8,31
경기 광주 중부면,일반국도 43호선,상행,11,380.4,449.3,622.2,755.9,764.9,829.7,2143.0,7655.8,30
경기 광주 중부면,일반국도 43호선,상행,12,360.8,426.2,509.3,609.4,625.6,786.9,1744.3,6686.0,31
경기 광주 중부면,일반국도 43호선,하행,1,597.3,664.6,707.6,742.7,833.0,1262.0,2283.3,9949.0,62
경기 광주 중부면,일반국도 43호선,하행,2,565.9,644.3,741.8,768.7,848.5,1210.2,2359.0,10222.1,58
경기 광주 중부면,일반국도 43호선,하행,3,644.5,704.2,785.8,809.4,890.0,1348.7,2485.3,10970.7,62
경기 광주 중부면,일반국도 43호선,하행,4,725.6,782.5,854.7,865.5,986.5,1508.2,2706.7,12133.1,60
경기 광주 중부면,일반국도 43호선,하행,5,711.0,768.7,827.9,865.8,968.0,1479.7,2661.7,12015.5,62
경기 광주 중부면,일반국도 43호선,하행,6,673.4,731.8,817.8,866.9,940.7,1405.2,2625.5,11904.4,60
경기 광주 중부면,일반국도 43호선,하행,7,665.1,728.3,786.2,818.6,904.0,1393.4,2508.9,11321.7,62
경기 광주 중부면,일반국도 43호선,하행,8,645.1,707.8,844.5,856.2,925.8,1352.9,2626.5,11829.0,62
경기 광주 중부면,일반국도 43호선,하행,9,633.5,713.7,816.3,830.4,895.3,1347.2,2542.0,11320.8,60
경기 광주 중부면,일반국도 43호선,하행,10,670.3,768.6,844.1,868.9,940.2,1438.9,2653.2,11746.8,62
경기 광주 중부면,일반국도 43호선,하행,11,661.6,746.1,835.3,892.1,957.0,1407.7,2684.5,11482.4,60
경기 광주 중부면,일반국도 43호선,하행,12,591.4,641.5,728.1,773.4,823.4,1232.9,2325.0,10027.2,62
경기 광주 초월읍,일반국도 3호선,상행,1,1304.7,1445.7,3049.7,3114.7,3014.6,2750.4,9179.1,36775.4,23
경기 광주 초월읍,일반국도 3호선,상행,2,1438.3,1555.4,3128.9,3247.2,3142.9,2993.7,9519.0,40470.8,22
