시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk,risk_prob,risk_score,safety_score,safety_grade
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.51883817,0.48153266,0.7412172,0.26182276,0.38739592,0.08110221612832,0,0,0.2718685627364841,0.3433810570433835,34.33810570433835,65.66189429566165,D
하원초등학교,37.446255,127.170236,6,7,21,2,15,16,10,2,6,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.95012796,0.050694197,0.93466485,0.065907866,0.45022243,0.25796690278872,0,0,0.4792374832046613,0.004030455918636685,0.40304559186366845,99.59695440813633,A
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.28651914,0.7094404,0.3762618,0.63240427,0.45062232,0.0,0,0,0.3405919498668033,0.5815072544576734,58.150725445767335,41.849274554232665,D
상대원초등학교,37.442382,127.181591,2,8,30,1,21,5,3,1,2,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.20583484,0.7956984,0.33007234,0.66170037,0.42129442,0.0,1,0,0.3214611093078675,0.1402051109741034,14.02051109741034,85.97948890258967,C
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.9276426,0.07323685,0.9202343,0.0810197,0.38085842,0.240462831130912,0,0,0.446788926993383,0.017326903299744865,1.7326903299744865,98.26730967002551,B
내정초등학교,37.372402,127.122264,1,2,4,4,6,13,10,1,1,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.9762284,0.024523139,0.9357177,0.06537941,0.46970743,0.0,0,0,0.5741251940770621,0.02770740164693184,2.770740164693184,97.22925983530682,B
미금초등학교,37.347422,127.115303,3,9,16,1,15,8,10,2,5,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.9749359,0.025346756,0.92173415,0.07831854,0.47187972,0.25741288209975,0,0,0.5175134660321022,0.001058864326680033,0.1058864326680033,99.894113567332,A
백현초등학교,37.372193,127.111168,3,11,21,1,13,18,8,1,3,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.989079,0.010683209,0.93788016,0.060088903,0.4826703,0.3217888529589236,0,0,0.5069967714835586,0.023381535600714137,2.338153560071414,97.66184643992858,B
성남여수초등학교,37.419449,127.133081,4,16,36,3,26,11,5,1,4,도촌동,0,0,0,0,0,0,25878,714,1005,1359,3078,11.894273127753303,0.2438027,0.75441897,0.20164773,0.79787,0.43479198,0.0,3,0,0.4930164236925986,0.09564460073914306,9.564460073914306,90.4355399260857,C
탄천초등학교,37.361599,127.115645,5,8,16,3,8,16,8,1,7,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.3183567,0.6883266,0.429389,0.57764137,0.38531023,0.0,0,0,0.3121117692005548,0.004085944473088417,0.40859444730884165,99.59140555269116,A
